timestamp,operating_regime,reactor_id,ambient_temp_effect,reactor_temp,reactor_pressure,feed_flow_rate,coolant_flow_rate,agitator_speed_rpm,reaction_rate,conversion_rate,selectivity,yield_pct,vibration_rms,motor_current,power_consumption_kw,temp_setpoint,pressure_setpoint,fault_type,efficiency_loss_pct,time_to_fault_min
3/27/2024 12:40,B,B_R3,-2.399945425,195.7208211,17.43264334,107.7738164,73.21848758,304.1397676,0.782883284,99.8102415,91.92876232,82.57888771,1.470389858,46.91562288,42.22406059,192.0,13.5,0,0.0,
3/27/2024 12:41,B,B_R3,-2.399474774,195.5687166,17.45577075,108.5733696,70.7512433,301.7562416,0.782274867,99.83039334,91.70383056,,1.598887958,45.54544726,40.99090253,192.0,13.5,0,0.0,
3/27/2024 12:42,B,B_R3,-2.399004117,195.8679683,17.20539361,109.5745897,73.73709251,301.6368472,0.783471873,99.20377432,91.64343611,81.82237279,1.536735714,45.83788843,,192.0,13.5,0,0.0,
3/27/2024 12:43,B,B_R3,-2.398533455,196.2711424,17.31957741,109.0866611,70.73301081,291.7240407,,99.58657489,91.81368622,82.29069484,1.587662072,45.30986018,40.77887416,192.0,13.5,0,0.0,
3/27/2024 12:44,B,B_R3,-2.398062787,195.7291877,17.36241735,108.5623488,72.29896372,300.6626704,0.782916751,100.0280362,91.86397063,82.70075318,1.48600677,46.63455171,,192.0,13.5,0,0.0,
3/27/2024 12:45,B,B_R3,-2.397592113,196.0875024,17.45040365,109.1892436,72.5659082,306.8109805,0.784350009,100.0696139,91.58202294,82.4811991,1.53780201,45.60215028,41.04193525,192.0,,0,0.0,
3/27/2024 12:46,B,B_R3,-2.397121434,195.2199068,17.11493321,,74.1547922,,0.780879627,99.74744171,91.83886567,82.4462271,1.403913778,45.96992761,41.37293485,192.0,13.5,0,0.0,
3/27/2024 12:47,B,B_R3,-2.396650749,196.823853,17.35591543,107.8810464,71.72321229,294.6289534,0.787295412,100.1114811,91.71493027,82.63545757,1.56257103,45.58578393,,192.0,13.5,0,0.0,
3/27/2024 12:48,B,B_R3,-2.396180059,195.1100797,17.35346649,109.106476,71.30590024,291.7639226,0.780440319,99.47109267,91.23307212,81.67548035,1.483015517,45.58082108,41.02273898,192.0,13.5,0,0.0,
3/27/2024 12:49,B,B_R3,-2.395709362,195.1509561,17.34929735,107.9175166,73.15391862,296.6450057,0.780603824,99.29116945,91.55132047,81.81213906,1.501411091,45.7606026,41.18454234,192.0,13.5,0,0.0,
3/27/2024 12:50,B,B_R3,-2.395238661,195.523334,17.28229591,107.8161352,70.42773423,297.1456873,0.782093336,99.99861777,91.63723388,82.47237052,1.529515074,45.88367237,41.29530514,192.0,13.5,0,0.0,
3/27/2024 12:51,B,B_R3,-2.394767953,195.5568776,17.4982253,,71.92578842,294.1168729,0.78222751,99.54301868,91.51554945,81.98760644,1.412940117,46.06084397,41.45475957,192.0,13.5,0,0.0,
3/27/2024 12:52,B,B_R3,-2.39429724,195.0567858,17.23541972,106.3715943,70.68006723,291.6448897,0.780227143,99.36293485,91.71878684,82.02103057,,45.55758283,41.00182455,192.0,13.5,0,0.0,
3/27/2024 12:53,B,B_R3,,195.1190761,17.43062233,109.1213424,73.16419126,302.9245808,0.780476304,99.61670321,91.574026,82.10072312,1.482356033,46.59082259,41.93174034,,13.5,0,0.0,
